geometry_item_id,item_type,source_row_numbers,source_candidate_ids,review_status,geometry_decision,corrected_bbox_xyxy,child_bboxes_json,target_candidate_ids,review_notes
row_023_expand_geometry,expand_geometry,23,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_001,gpt_prefilled,merge_with_component,,,merge_component_001,"GPT-5.5 geometry prefill, confidence 0.93: Active candidate undercovers the visible revision cloud; the cloud continues beyond the red candidate box, especially to the left. Since this candidate is already associated with merge_component_001, handle it through that merge component rather than as standalone corrected geometry."
row_024_expand_geometry,expand_geometry,24,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_002,gpt_prefilled,merge_with_component,,,merge_component_001,"GPT-5.5 geometry prefill, confidence 0.88: Source candidate is an undercovered fragment of a larger visible revision cloud and is already associated with merge_component_001; per expand_geometry policy it should be handled by that merge component rather than as standalone corrected geometry."
row_025_expand_geometry,expand_geometry,25,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_003,gpt_prefilled,merge_with_component,,,merge_component_001,"GPT-5.5 geometry prefill, confidence 0.93: Expand item is already associated with merge_component_001. The visible cloud appears to continue beyond the standalone candidate extent, so handle this candidate through the merge component rather than assigning a standalone corrected bbox."
row_026_expand_geometry,expand_geometry,26,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_004,gpt_prefilled,merge_with_component,,,merge_component_001,"GPT-5.5 geometry prefill, confidence 0.90: Source candidate is an undercoverage fragment of a larger visible revision cloud and is already associated with merge_component_001; handle via that merge component rather than standalone expanded geometry."
row_027_expand_geometry,expand_geometry,27,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_005,gpt_prefilled,merge_with_component,,,merge_component_001,"GPT-5.5 geometry prefill, confidence 0.88: Source candidate is an undercovered fragment of a larger visible revision cloud along the detail/title area and is already associated with merge_component_001; handle geometry through that merge component rather than as a standalone expanded bbox."
row_039_expand_geometry,expand_geometry,39,Revision_Set_7_37f6066a_p0003_whole_002,gpt_prefilled,merge_with_component,,,merge_component_002,"GPT-5.5 geometry prefill, confidence 0.92: Source candidate is an undercovered fragment of a larger visible revision cloud and is already listed as part of merge_component_002. Prefer handling via that merge component rather than standalone expansion."
row_040_expand_geometry,expand_geometry,40,Revision_Set_7_37f6066a_p0003_whole_003,gpt_prefilled,merge_with_component,,,merge_component_003,"GPT-5.5 geometry prefill, confidence 0.87: Source candidate appears to be an undercovered fragment of a larger same-cloud extent and is already associated with merge_component_003; handle expansion/complete cloud geometry through that merge component rather than as standalone corrected geometry. Avoid expanding downward into the adjacent lower cloud."
row_041_expand_geometry,expand_geometry,41,Revision_Set_7_37f6066a_p0003_whole_004,gpt_prefilled,merge_with_component,,,merge_component_002,"GPT-5.5 geometry prefill, confidence 0.92: Source candidate is an undercovered fragment of a larger visible revision cloud and is already associated with merge_component_002 in the context; handle via that merge component rather than standalone expansion."
row_042_expand_geometry,expand_geometry,42,Revision_Set_7_37f6066a_p0003_whole_005,gpt_prefilled,merge_with_component,,,merge_component_003,"GPT-5.5 geometry prefill, confidence 0.90: Source candidate is an undercoverage fragment of a larger revision cloud that extends beyond the active red bbox, especially to the right. Context already associates this candidate with merge_component_003, so it should be handled as part of that merged same-cloud component rather than expanded standalone here."
row_043_expand_geometry,expand_geometry,43,Revision_Set_7_37f6066a_p0003_whole_006,gpt_prefilled,merge_with_component,,,merge_component_003,"GPT-5.5 geometry prefill, confidence 0.90: Source candidate is an undercovered horizontal fragment of a larger visible revision cloud. Context indicates it is already part of merge_component_003, so it should be handled by that merged component rather than expanded as standalone geometry."
row_044_expand_geometry,expand_geometry,44,Revision_Set_7_37f6066a_p0003_whole_007,gpt_prefilled,merge_with_component,,,merge_component_002,"GPT-5.5 geometry prefill, confidence 0.93: Active candidate is an undercovered fragment along the lower edge of a larger visible revision cloud. Context indicates it is already associated with merge_component_002, so it should be handled by that merge component rather than as standalone corrected geometry."
