review_item_id,source_page_key,eval_mode,mismatch_type,truth_id,prediction_id,confidence,iou_25,best_iou,nearest_truth_iou,nearest_truth_id,nearest_prediction_id,nearest_prediction_iou,matched_elsewhere,matched_elsewhere_prediction_id,matched_elsewhere_truth_id,possible_duplicate_prediction,mismatch_reason_raw,human_error_bucket,human_review_status,human_notes,overlay_path,crop_path,review_row_number,auto_suggested,auto_suggestion_confidence,auto_suggestion_note
Revision_1_-_Drawing_Changes_p0003:model_only_tiled:pred:pred_001,Revision_1_-_Drawing_Changes:p0003,model_only_tiled,false_positive,truth_001,pred_001,0.841649,0.233938,0.233938,0.233938,truth_001,pred_002,0.664997,True,pred_002,,True,"pred_001 was not assigned the IoU 0.25 scoring match. Its nearest truth is truth_001 at IoU 0.234, but that truth was already matched to pred_002. This may be a duplicate/fragment scoring artifact.",,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\model_only_tiled\Revision_1_-_Drawing_Changes_p0003_model_only_tiled_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_model_only_tiled_page_disjoint_real_20260502\crops\Revision_1_-_Drawing_Changes_147e3aec_p0003_cloud_001.png,1,,,
Revision_1_-_Drawing_Changes_p0032:pipeline_full:pred:pred_002,Revision_1_-_Drawing_Changes:p0032,pipeline_full,localization_low_iou,truth_001,pred_002,0.81505,0.498914,0.498914,0.498914,truth_001,pred_002,0.498914,False,,,False,"pred_002 was matched to truth_001 at IoU 0.499, so it counts as a TP at IoU 0.25. It is queued because localization is below IoU 0.50.",,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\pipeline_full\Revision_1_-_Drawing_Changes_p0032_pipeline_full_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_pipeline_full_page_disjoint_real_20260502\whole_cloud_candidates\crops\Revision #1 - Drawing Changes\Revision_1_-_Drawing_Changes_6cbee960_p0032_whole_002_small.png,2,,,
Revision_1_-_Drawing_Changes_p0033:model_only_tiled:pred:pred_003,Revision_1_-_Drawing_Changes:p0033,model_only_tiled,false_positive,truth_001,pred_003,0.66184,0.497707,0.497707,0.497707,truth_001,pred_001,0.938836,True,pred_001,,True,"pred_003 was not assigned the IoU 0.25 scoring match. Its nearest truth is truth_001 at IoU 0.498, but that truth was already matched to pred_001. This may be a duplicate/fragment scoring artifact.",,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\model_only_tiled\Revision_1_-_Drawing_Changes_p0033_model_only_tiled_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_model_only_tiled_page_disjoint_real_20260502\crops\Revision_1_-_Drawing_Changes_147e3aec_p0033_cloud_003.png,3,,,
Revision_1_-_Drawing_Changes_p0033:pipeline_full:pred:pred_001,Revision_1_-_Drawing_Changes:p0033,pipeline_full,localization_low_iou,truth_001,pred_001,0.827298,0.495742,0.495742,0.495742,truth_001,pred_001,0.495742,False,,,False,"pred_001 was matched to truth_001 at IoU 0.496, so it counts as a TP at IoU 0.25. It is queued because localization is below IoU 0.50.",,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\pipeline_full\Revision_1_-_Drawing_Changes_p0033_pipeline_full_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_pipeline_full_page_disjoint_real_20260502\whole_cloud_candidates\crops\Revision #1 - Drawing Changes\Revision_1_-_Drawing_Changes_6cbee960_p0033_whole_001_small.png,4,,,
Revision_1_-_Drawing_Changes_p0036:model_only_tiled:pred:pred_003,Revision_1_-_Drawing_Changes:p0036,model_only_tiled,false_positive,,pred_003,0.714391,0.0,0.0,0.0,,pred_003,0.0,False,,,False,pred_003 was not assigned a scoring match and no truth box overlaps it on this page.,,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\model_only_tiled\Revision_1_-_Drawing_Changes_p0036_model_only_tiled_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_model_only_tiled_page_disjoint_real_20260502\crops\Revision_1_-_Drawing_Changes_147e3aec_p0036_cloud_003.png,5,,,
Revision_1_-_Drawing_Changes_p0036:pipeline_full:pred:pred_003,Revision_1_-_Drawing_Changes:p0036,pipeline_full,false_positive,,pred_003,0.726641,0.0,0.0,0.0,,pred_003,0.0,False,,,False,pred_003 was not assigned a scoring match and no truth box overlaps it on this page.,,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\pipeline_full\Revision_1_-_Drawing_Changes_p0036_pipeline_full_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_pipeline_full_page_disjoint_real_20260502\whole_cloud_candidates\crops\Revision #1 - Drawing Changes\Revision_1_-_Drawing_Changes_6cbee960_p0036_whole_003_small.png,6,,,
Revision_1_-_Drawing_Changes_p0037:model_only_tiled:pred:pred_001,Revision_1_-_Drawing_Changes:p0037,model_only_tiled,false_positive,,pred_001,0.837439,0.0,0.0,0.0,,pred_001,0.0,False,,,False,pred_001 was not assigned a scoring match and no truth box overlaps it on this page.,,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\model_only_tiled\Revision_1_-_Drawing_Changes_p0037_model_only_tiled_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_model_only_tiled_page_disjoint_real_20260502\crops\Revision_1_-_Drawing_Changes_147e3aec_p0037_cloud_001.png,7,,,
Revision_1_-_Drawing_Changes_p0037:pipeline_full:pred:pred_001,Revision_1_-_Drawing_Changes:p0037,pipeline_full,false_positive,,pred_001,0.849689,0.0,0.0,0.0,,pred_001,0.0,False,,,False,pred_001 was not assigned a scoring match and no truth box overlaps it on this page.,,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\pipeline_full\Revision_1_-_Drawing_Changes_p0037_pipeline_full_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_pipeline_full_page_disjoint_real_20260502\whole_cloud_candidates\crops\Revision #1 - Drawing Changes\Revision_1_-_Drawing_Changes_6cbee960_p0037_whole_001_small.png,8,,,
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_001,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_002,pred_001,0.883256,0.150558,0.150558,0.150558,truth_002,pred_001,0.150558,False,,,False,"pred_001 was not assigned a scoring match because its nearest truth is truth_002 at IoU 0.151, below the IoU 0.25 threshold.",,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\model_only_tiled\Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_model_only_tiled_page_disjoint_real_20260502\crops\Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_001.png,9,,,
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_002,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_001,pred_002,0.860932,0.173278,0.173278,0.173278,truth_001,pred_002,0.173278,False,,,False,"pred_002 was not assigned a scoring match because its nearest truth is truth_001 at IoU 0.173, below the IoU 0.25 threshold.",,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\model_only_tiled\Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_model_only_tiled_page_disjoint_real_20260502\crops\Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_002.png,10,,,
