review_item_id,source_page_key,eval_mode,mismatch_type,truth_id,prediction_id,confidence,iou_25,best_iou,human_error_bucket,human_review_status,human_notes,overlay_path,crop_path
Revision_1_-_Drawing_Changes_p0003:model_only_tiled:pred:pred_001,Revision_1_-_Drawing_Changes:p0003,model_only_tiled,false_positive,truth_001,pred_001,0.841649,0.233938,0.233938,,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\model_only_tiled\Revision_1_-_Drawing_Changes_p0003_model_only_tiled_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_model_only_tiled_page_disjoint_real_20260502\crops\Revision_1_-_Drawing_Changes_147e3aec_p0003_cloud_001.png
Revision_1_-_Drawing_Changes_p0032:pipeline_full:pred:pred_002,Revision_1_-_Drawing_Changes:p0032,pipeline_full,localization_low_iou,truth_001,pred_002,0.81505,0.498914,0.498914,,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\pipeline_full\Revision_1_-_Drawing_Changes_p0032_pipeline_full_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_pipeline_full_page_disjoint_real_20260502\whole_cloud_candidates\crops\Revision #1 - Drawing Changes\Revision_1_-_Drawing_Changes_6cbee960_p0032_whole_002_small.png
Revision_1_-_Drawing_Changes_p0033:model_only_tiled:pred:pred_003,Revision_1_-_Drawing_Changes:p0033,model_only_tiled,false_positive,truth_001,pred_003,0.66184,0.497707,0.497707,,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\model_only_tiled\Revision_1_-_Drawing_Changes_p0033_model_only_tiled_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_model_only_tiled_page_disjoint_real_20260502\crops\Revision_1_-_Drawing_Changes_147e3aec_p0033_cloud_003.png
Revision_1_-_Drawing_Changes_p0033:pipeline_full:pred:pred_001,Revision_1_-_Drawing_Changes:p0033,pipeline_full,localization_low_iou,truth_001,pred_001,0.827298,0.495742,0.495742,,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\pipeline_full\Revision_1_-_Drawing_Changes_p0033_pipeline_full_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_pipeline_full_page_disjoint_real_20260502\whole_cloud_candidates\crops\Revision #1 - Drawing Changes\Revision_1_-_Drawing_Changes_6cbee960_p0033_whole_001_small.png
Revision_1_-_Drawing_Changes_p0036:model_only_tiled:pred:pred_003,Revision_1_-_Drawing_Changes:p0036,model_only_tiled,false_positive,,pred_003,0.714391,0.0,0.0,,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\model_only_tiled\Revision_1_-_Drawing_Changes_p0036_model_only_tiled_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_model_only_tiled_page_disjoint_real_20260502\crops\Revision_1_-_Drawing_Changes_147e3aec_p0036_cloud_003.png
Revision_1_-_Drawing_Changes_p0036:pipeline_full:pred:pred_003,Revision_1_-_Drawing_Changes:p0036,pipeline_full,false_positive,,pred_003,0.726641,0.0,0.0,,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\pipeline_full\Revision_1_-_Drawing_Changes_p0036_pipeline_full_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_pipeline_full_page_disjoint_real_20260502\whole_cloud_candidates\crops\Revision #1 - Drawing Changes\Revision_1_-_Drawing_Changes_6cbee960_p0036_whole_003_small.png
Revision_1_-_Drawing_Changes_p0037:model_only_tiled:pred:pred_001,Revision_1_-_Drawing_Changes:p0037,model_only_tiled,false_positive,,pred_001,0.837439,0.0,0.0,,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\model_only_tiled\Revision_1_-_Drawing_Changes_p0037_model_only_tiled_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_model_only_tiled_page_disjoint_real_20260502\crops\Revision_1_-_Drawing_Changes_147e3aec_p0037_cloud_001.png
Revision_1_-_Drawing_Changes_p0037:pipeline_full:pred:pred_001,Revision_1_-_Drawing_Changes:p0037,pipeline_full,false_positive,,pred_001,0.849689,0.0,0.0,,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\pipeline_full\Revision_1_-_Drawing_Changes_p0037_pipeline_full_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_pipeline_full_page_disjoint_real_20260502\whole_cloud_candidates\crops\Revision #1 - Drawing Changes\Revision_1_-_Drawing_Changes_6cbee960_p0037_whole_001_small.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_001,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_002,pred_001,0.883256,0.150558,0.150558,,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\model_only_tiled\Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_model_only_tiled_page_disjoint_real_20260502\crops\Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_001.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_002,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_001,pred_002,0.860932,0.173278,0.173278,,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\model_only_tiled\Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_model_only_tiled_page_disjoint_real_20260502\crops\Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_002.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_003,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_002,pred_003,0.826216,0.164933,0.164933,,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\model_only_tiled\Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_model_only_tiled_page_disjoint_real_20260502\crops\Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_003.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_004,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_002,pred_004,0.805019,0.168991,0.168991,,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\model_only_tiled\Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_model_only_tiled_page_disjoint_real_20260502\crops\Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_004.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_005,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_001,pred_005,0.79744,0.212732,0.212732,,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\model_only_tiled\Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_model_only_tiled_page_disjoint_real_20260502\crops\Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_005.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_006,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_002,pred_006,0.794766,0.159016,0.159016,,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\model_only_tiled\Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_model_only_tiled_page_disjoint_real_20260502\crops\Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_006.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_007,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_002,pred_007,0.794266,0.165936,0.165936,,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\model_only_tiled\Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_model_only_tiled_page_disjoint_real_20260502\crops\Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_007.png
Revision_1_-_Drawing_Changes_p0041:model_only_tiled:pred:pred_008,Revision_1_-_Drawing_Changes:p0041,model_only_tiled,false_positive,truth_001,pred_008,0.792652,0.216559,0.216559,,unreviewed,,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_human_audited_mismatch_review_20260504\overlay_packet\overlays\model_only_tiled\Revision_1_-_Drawing_Changes_p0041_model_only_tiled_truth_vs_predictions.jpg,F:\Desktop\m\projects\scopeLedger\CloudHammer_v2\outputs\baseline_model_only_tiled_page_disjoint_real_20260502\crops\Revision_1_-_Drawing_Changes_147e3aec_p0041_cloud_008.png
